Name,Display Name,Type,Description,Preferred Location,Retiring,Retiring Date
100 Pcs Bubble Mailer Padded Bag Envelope 300x400mm,100 Pcs Bubble Mailer Padded Bag Envelope 300x400mm,Inventory Item,100 Pcs Bubble Mailer Padded Bag Envelope 300x400mm,Main Warehouse,No,
400 Pcs Bubble Mailer Padded Bag Envelope size 120x180mm,400 Pcs Bubble Mailer Padded Bag Envelope size 120x180mm,Inventory Item,400 Pcs Bubble Mailer Padded Bag Envelope size 120x180mm,Main Warehouse,No,
ABA1001,Silver Inspire Stackable Affirmation Bracelet,Inventory Item,Silver Inspire Stackable Affirmation Bracelet,Main Warehouse,No,
ABA1002,Silver Be The Change Stackable Affirmation Bracelet,Inventory Item,Silver Be The Change Stackable Affirmation Bracelet,Main Warehouse,No,
ABA1003,"Silver Live, Laugh, Love Stackable Affirmation Bracelet",Inventory Item,"Silver Live, Laugh, Love Stackable Affirmation Bracelet",Main Warehouse,Yes,31/12/2017
ABA1004,Silver Live In The Moment Stackable Affirmation Bracelet,Inventory Item,Silver Live In The Moment Stackable Affirmation Bracelet,Main Warehouse,No,
ABA1005,Silver Follow Your <3 Stackable Affirmation Bracelet,Inventory Item,Silver Follow Your <3 Stackable Affirmation Bracelet,Main Warehouse,No,
ABA1006,Silver I Can & I Will Stackable Affirmation Bracelet,Inventory Item,Silver I Can & I Will Stackable Affirmation Bracelet,Main Warehouse,Yes,31/12/2017
ABA1007,Silver Dream It. Wish It. Do  Stackable Affirmation Bracelet,Inventory Item,Silver Dream It. Wish It. Do It. Stackable Affirmation Bracelet,Main Warehouse,Yes,31/12/2017
ABA1008,Silver Dare To Dream Stackable Affirmation Bracelet,Inventory Item,Silver Dare To Dream Stackable Affirmation Bracelet,Main Warehouse,No,
ABA1009,Silver Courage Stackable Affirmation Bracelet,Inventory Item,Silver Courage Stackable Affirmation Bracelet,Main Warehouse,Yes,18/11/2016
ABA1010,Silver Free To Be Me Stackable Affirmation Bracelet,Inventory Item,Silver Free To Be Me Stackable Affirmation Bracelet,Main Warehouse,No,
ABA1011,Silver You Only Live Once Stackable Affirmation Bracelet,Inventory Item,Silver You Only Live Once Stackable Affirmation Bracelet,Main Warehouse,Yes,31/12/2017
ABA1012,Silver Wild At Heart Stackable Affirmnation Bracelet,Inventory Item,Silver Wild At Heart Stackable Affirmation Bracelet,Main Warehouse,Yes,31/12/2016
ABA1013,"Silver Should, Could, Would...Did Stackable Affirmation Brac",Inventory Item,"Silver Should, Could, Would...Did Stackable Affirmation Bracelet",Main Warehouse,Yes,18/11/2016
ABA1014,Silver Choose COURAGE over FEAR Stackable Affirmation Bracel,Inventory Item,Silver Choose COURAGE over FEAR Stackable Affirmation Bracelet,Main Warehouse,Yes,31/12/2017
ABA1015,Silver Better & Better Every Day In Every Way Stackable Aff,Inventory Item,Silver Better & Better Every Day In Every Way Stackable Affirmation Bracelet,Main Warehouse,Yes,18/11/2016
ABA1016,Silver The Best Is Yet To Come Stackable Affirmation Bracele,Inventory Item,Silver The Best Is Yet To Come Stackable Affirmation Bracelet,Main Warehouse,Yes,18/11/2016
ABA1017,Silver Don't Worry Be Happy Stackable Affirmation Bracelet,Inventory Item,Silver Don't Worry Be Happy Stackable Affirmation Bracelet,Main Warehouse,No,
ABA1101,Gold Inspire Stackable Affirmation Bracelet,Inventory Item,Gold Inspire Stackable Affirmation Bracelet,Main Warehouse,Yes,31/12/2017
ABA1102,Gold Be The Change Stackable Affirmation Bracelet,Inventory Item,Gold Be The Change Stackable Affirmation Bracelet,Main Warehouse,No,
ABA1103,"Gold Live, Laugh, Love Stackable Affirmation Bracelet",Inventory Item,"Gold Live, Laugh, Love Stackable Affirmation Bracelet",Main Warehouse,No,
ABA1104,Gold Live In The Moment Stackable Affirmation Bracelet,Inventory Item,Gold Live In The Moment Stackable Affirmation Bracelet,Main Warehouse,Yes,18/11/2016
ABA1105,Gold Follow Your <3 Stackable Affirmation Bracelet,Inventory Item,Gold Follow Your <3 Stackable Affirmation Bracelet,Main Warehouse,No,
